Week,Team 1,Team 2,Team 1 Rank,Team 2 Rank,Spread
1,ATL,CAR,22,32,-10
1,BAL,HOU,3,11,-8
1,CHI,GB,23,14,9
1,CLE,CIN,9,13,-4
1,DEN,LV,12,28,-16
1,IND,JAX,16,10,6
1,KC,DET,7,6,1
1,LAC,MIA,25,5,20
1,MIN,TB,18,20,-2
1,NE,PHI,31,4,27
1,NO,TEN,21,24,-3
1,NYG,DAL,27,2,25
1,NYJ,BUF,26,8,18
1,PIT,SF,17,1,16
1,SEA,LAR,19,15,4
1,WAS,ARI,29,30,-1
2,ARI,NYG,30,27,3
2,ATL,GB,22,14,8
2,BUF,LV,8,28,-20
2,CAR,NO,32,21,11
2,CIN,BAL,13,3,10
2,DAL,NYJ,2,26,-24
2,DEN,WAS,12,29,-17
2,DET,SEA,6,19,-13
2,HOU,IND,11,16,-5
2,JAX,KC,10,7,3
2,LAR,SF,15,1,14
2,NE,MIA,31,5,26
2,PHI,MIN,4,18,-14
2,PIT,CLE,17,9,8
2,TB,CHI,20,23,-3
2,TEN,LAC,24,25,-1
3,ARI,DAL,30,2,28
3,BAL,IND,3,16,-13
3,CIN,LAR,13,15,-2
3,CLE,TEN,9,24,-15
3,DET,ATL,6,22,-16
3,GB,NO,14,21,-7
3,JAX,HOU,10,11,-1
3,KC,CHI,7,23,-16
3,LV,PIT,28,17,11
3,MIA,DEN,5,12,-7
3,MIN,LAC,18,25,-7
3,NYJ,NE,26,31,-5
3,SEA,CAR,19,32,-13
3,SF,NYG,1,27,-26
3,TB,PHI,20,4,16
3,WAS,BUF,29,8,21
4,BUF,MIA,8,5,3
4,CAR,MIN,32,18,14
4,CHI,DEN,23,12,11
4,CLE,BAL,9,3,6
4,DAL,NE,2,31,-29
4,GB,DET,14,6,8
4,HOU,PIT,11,17,-6
4,IND,LAR,16,15,1
4,JAX,ATL,10,22,-12
4,LAC,LV,25,28,-3
4,NO,TB,21,20,1
4,NYG,SEA,27,19,8
4,NYJ,KC,26,7,19
4,PHI,WAS,4,29,-25
4,SF,ARI,1,30,-29
4,TEN,CIN,24,13,11
5,ARI,CIN,30,13,17
5,ATL,HOU,22,11,11
5,BUF,JAX,8,10,-2
5,CLE,BYE,9,#N/A,#N/A
5,DEN,NYJ,12,26,-14
5,DET,CAR,6,32,-26
5,IND,TEN,16,24,-8
5,LAC,BYE,25,#N/A,#N/A
5,LAR,PHI,15,4,11
5,LV,GB,28,14,14
5,MIA,NYG,5,27,-22
5,MIN,KC,18,7,11
5,NE,NO,31,21,10
5,PIT,BAL,17,3,14
5,SEA,BYE,19,#N/A,#N/A
5,SF,DAL,1,2,-1
5,TB,BYE,20,#N/A,#N/A
5,WAS,CHI,29,23,6
6,ATL,WAS,22,29,-7
6,BUF,NYG,8,27,-19
6,CHI,MIN,23,18,5
6,CIN,SEA,13,19,-6
6,CLE,SF,9,1,8
6,GB,BYE,14,#N/A,#N/A
6,HOU,NO,11,21,-10
6,JAX,IND,10,16,-6
6,KC,DEN,7,12,-5
6,LAC,DAL,25,2,23
6,LAR,ARI,15,30,-15
6,LV,NE,28,31,-3
6,MIA,CAR,5,32,-27
6,NYJ,PHI,26,4,22
6,PIT,BYE,17,#N/A,#N/A
6,TB,DET,20,6,14
6,TEN,BAL,24,3,21
7,BAL,DET,3,6,-3
7,CAR,BYE,32,#N/A,#N/A
7,CHI,LV,23,28,-5
7,CIN,BYE,13,#N/A,#N/A
7,DAL,BYE,2,#N/A,#N/A
7,DEN,GB,12,14,-2
7,HOU,BYE,11,#N/A,#N/A
7,IND,CLE,16,9,7
7,KC,LAC,7,25,-18
7,LAR,PIT,15,17,-2
7,MIN,SF,18,1,17
7,NE,BUF,31,8,23
7,NO,JAX,21,10,11
7,NYG,WAS,27,29,-2
7,NYJ,BYE,26,#N/A,#N/A
7,PHI,MIA,4,5,-1
7,SEA,ARI,19,30,-11
7,TB,ATL,20,22,-2
7,TEN,BYE,24,#N/A,#N/A
8,ARI,BAL,30,3,27
8,BUF,TB,8,20,-12
8,CAR,HOU,32,11,21
8,DAL,LAR,2,15,-13
8,DEN,KC,12,7,5
8,DET,LV,6,28,-22
8,GB,MIN,14,18,-4
8,IND,NO,16,21,-5
8,LAC,CHI,25,23,2
8,MIA,NE,5,31,-26
8,NYG,NYJ,27,26,1
8,PIT,JAX,17,10,7
8,SEA,CLE,19,9,10
8,SF,CIN,1,13,-12
8,TEN,ATL,24,22,2
8,WAS,PHI,29,4,25
9,ATL,MIN,22,18,4
9,BAL,SEA,3,19,-16
9,CAR,IND,32,16,16
9,CIN,BUF,13,8,5
9,CLE,ARI,9,30,-21
9,DEN,BYE,12,#N/A,#N/A
9,DET,BYE,6,#N/A,#N/A
9,GB,LAR,14,15,-1
9,HOU,TB,11,20,-9
9,JAX,BYE,10,#N/A,#N/A
9,KC,MIA,7,5,2
9,LV,NYG,28,27,1
9,NE,WAS,31,29,2
9,NO,CHI,21,23,-2
9,NYJ,LAC,26,25,1
9,PHI,DAL,4,2,2
9,PIT,TEN,17,24,-7
9,SF,BYE,1,#N/A,#N/A
