Week,Team 1,Team 2,Team 1 Rank,Team 2 Rank,Spread
1,ATL,PIT,17,10,7
1,BUF,ARI,3,19,-16
1,CHI,TEN,23,32,-9
1,CIN,NE,12,30,-18
1,CLE,DAL,29,21,8
1,DET,LAR,2,11,-9
1,IND,HOU,22,14,8
1,KC,BAL,1,6,-5
1,LAC,LV,8,24,-16
1,MIA,JAX,18,25,-7
1,NO,CAR,27,26,1
1,NYG,MIN,31,4,27
1,PHI,GB,5,7,-2
1,SF,NYJ,20,28,-8
1,SEA,DEN,16,15,1
1,TB,WAS,13,9,4
2,ARI,LAR,19,11,8
2,BAL,LV,6,24,-18
2,CAR,LAC,26,8,18
2,DAL,NO,21,27,-6
2,DEN,PIT,15,10,5
2,DET,TB,2,13,-11
2,GB,IND,7,22,-15
2,HOU,CHI,14,23,-9
2,JAX,CLE,25,29,-4
2,KC,CIN,1,12,-11
2,MIA,BUF,18,3,15
2,MIN,SF,4,20,-16
2,NE,SEA,30,16,14
2,PHI,ATL,5,17,-12
2,TEN,NYJ,32,28,4
2,WAS,NYG,9,31,-22
3,ARI,DET,19,2,17
3,ATL,KC,17,1,16
3,BUF,JAX,3,25,-22
3,CIN,WAS,12,9,3
3,CLE,NYG,29,31,-2
3,DAL,BAL,21,6,15
3,IND,CHI,22,23,-1
3,LV,CAR,24,26,-2
3,LAR,SF,11,20,-9
3,MIN,HOU,4,14,-10
3,NO,PHI,27,5,22
3,NYJ,NE,28,30,-2
3,PIT,LAC,10,8,2
3,SEA,MIA,16,18,-2
3,TB,DEN,13,15,-2
3,TEN,GB,32,7,25
4,ARI,WAS,19,9,10
4,ATL,NO,17,27,-10
4,BAL,BUF,6,3,3
4,CAR,CIN,26,12,14
4,CHI,LAR,23,11,12
4,DET,SEA,2,16,-14
4,GB,MIN,7,4,3
4,HOU,JAX,14,25,-11
4,IND,PIT,22,10,12
4,LV,CLE,24,29,-5
4,LAC,KC,8,1,7
4,MIA,TEN,18,32,-14
4,NYG,DAL,31,21,10
4,NYJ,DEN,28,15,13
4,SF,NE,20,30,-10
4,TB,PHI,13,5,8
5,ATL,TB,17,13,4
5,CHI,CAR,23,26,-3
5,CIN,BAL,12,6,6
5,DEN,LV,15,24,-9
5,DET,BYE,2,#N/A,#N/A
5,HOU,BUF,14,3,11
5,JAX,IND,25,22,3
5,KC,NO,1,27,-26
5,LAR,GB,11,7,4
5,LAC,BYE,8,#N/A,#N/A
5,MIN,NYJ,4,28,-24
5,NE,MIA,30,18,12
5,PHI,BYE,5,#N/A,#N/A
5,PIT,DAL,10,21,-11
5,SF,ARI,20,19,1
5,SEA,NYG,16,31,-15
5,TEN,BYE,32,#N/A,#N/A
5,WAS,CLE,9,29,-20
6,BAL,WAS,6,9,-3
6,CAR,ATL,26,17,9
6,CHI,JAX,23,25,-2
6,DAL,DET,21,2,19
6,DEN,LAC,15,8,7
6,GB,ARI,7,19,-12
6,KC,BYE,1,#N/A,#N/A
6,LV,PIT,24,10,14
6,LAR,BYE,11,#N/A,#N/A
6,MIA,BYE,18,#N/A,#N/A
6,MIN,BYE,4,#N/A,#N/A
6,NE,HOU,30,14,16
6,NO,TB,27,13,14
6,NYG,CIN,31,12,19
6,NYJ,BUF,28,3,25
6,PHI,CLE,5,29,-24
6,SEA,SF,16,20,-4
6,TEN,IND,32,22,10
7,ARI,LAC,19,8,11
7,ATL,SEA,17,16,1
7,BUF,TEN,3,32,-29
7,CHI,BYE,23,#N/A,#N/A
7,CLE,CIN,29,12,17
7,DAL,BYE,21,#N/A,#N/A
7,GB,HOU,7,14,-7
7,IND,MIA,22,18,4
7,JAX,NE,25,30,-5
7,LAR,LV,11,24,-13
7,MIN,DET,4,2,2
7,NO,DEN,27,15,12
7,NYG,PHI,31,5,26
7,PIT,NYJ,10,28,-18
7,SF,KC,20,1,19
7,TB,BAL,13,6,7
7,WAS,CAR,9,26,-17
8,CIN,PHI,12,5,7
8,CLE,BAL,29,6,23
8,DEN,CAR,15,26,-11
8,DET,TEN,2,32,-30
8,HOU,IND,14,22,-8
8,JAX,GB,25,7,18
8,LV,KC,24,1,23
8,LAR,MIN,11,4,7
8,LAC,NO,8,27,-19
8,MIA,ARI,18,19,-1
8,NE,NYJ,30,28,2
8,PIT,NYG,10,31,-21
8,SF,DAL,20,21,-1
8,SEA,BUF,16,3,13
8,TB,ATL,13,17,-4
8,WAS,CHI,9,23,-14
9,ARI,CHI,19,23,-4
9,ATL,DAL,17,21,-4
9,BAL,DEN,6,15,-9
9,BUF,MIA,3,18,-15
9,CAR,NO,26,27,-1
9,CIN,LV,12,24,-12
9,CLE,LAC,29,8,21
9,GB,DET,7,2,5
9,KC,TB,1,13,-12
9,MIN,IND,4,22,-18
9,NYG,WAS,31,9,22
9,NYJ,HOU,28,14,14
9,PHI,JAX,5,25,-20
9,PIT,BYE,10,#N/A,#N/A
9,SF,BYE,20,#N/A,#N/A
9,SEA,LAR,16,11,5
9,TEN,NE,32,30,2
10,ARI,NYJ,19,28,-9
10,BAL,CIN,6,12,-6
10,CAR,NYG,26,31,-5
10,CHI,NE,23,30,-7
10,CLE,BYE,29,#N/A,#N/A
10,DAL,PHI,21,5,16
10,GB,BYE,7,#N/A,#N/A
10,HOU,DET,14,2,12
10,IND,BUF,22,3,19
10,JAX,MIN,25,4,21
10,KC,DEN,1,15,-14
10,LV,BYE,24,#N/A,#N/A
10,LAR,MIA,11,18,-7
10,LAC,TEN,8,32,-24
10,NO,ATL,27,17,10
10,SEA,BYE,16,#N/A,#N/A
10,TB,SF,13,20,-7
10,WAS,PIT,9,10,-1
11,ARI,BYE,19,#N/A,#N/A
11,BUF,KC,3,1,2
11,CAR,BYE,26,#N/A,#N/A
11,CHI,GB,23,7,16
11,DAL,HOU,21,14,7
11,DEN,ATL,15,17,-2
11,DET,JAX,2,25,-23
11,LAC,CIN,8,12,-4
11,MIA,LV,18,24,-6
11,NE,LAR,30,11,19
11,NO,CLE,27,29,-2
11,NYG,BYE,31,#N/A,#N/A
11,NYJ,IND,28,22,6
11,PHI,WAS,5,9,-4
11,PIT,BAL,10,6,4
11,SF,SEA,20,16,4
11,TB,BYE,13,#N/A,#N/A
11,TEN,MIN,32,4,28
12,ATL,BYE,17,#N/A,#N/A
12,BUF,BYE,3,#N/A,#N/A
12,CAR,KC,26,1,25
12,CHI,MIN,23,4,19
12,CIN,BYE,12,#N/A,#N/A
12,CLE,PIT,29,10,19
12,GB,SF,7,20,-13
12,HOU,TEN,14,32,-18
12,IND,DET,22,2,20
12,JAX,BYE,25,#N/A,#N/A
12,LV,DEN,24,15,9
12,LAR,PHI,11,5,6
12,LAC,BAL,8,6,2
12,MIA,NE,18,30,-12
12,NO,BYE,27,#N/A,#N/A
12,NYG,TB,31,13,18
12,NYJ,BYE,28,#N/A,#N/A
12,SEA,ARI,16,19,-3
12,WAS,DAL,9,21,-12
13,ATL,LAC,17,8,9
13,BAL,PHI,6,5,1
13,BUF,SF,3,20,-17
13,CAR,TB,26,13,13
13,CIN,PIT,12,10,2
13,DAL,NYG,21,31,-10
13,DEN,CLE,15,29,-14
13,DET,CHI,2,23,-21
13,GB,MIA,7,18,-11
13,JAX,HOU,25,14,11
13,KC,LV,1,24,-23
13,MIN,ARI,4,19,-15
13,NE,IND,30,22,8
13,NO,LAR,27,11,16
13,NYJ,SEA,28,16,12
13,WAS,TEN,9,32,-23
14,ARI,SEA,19,16,3
14,BAL,BYE,6,#N/A,#N/A
14,DAL,CIN,21,12,9
14,DEN,BYE,15,#N/A,#N/A
14,DET,GB,2,7,-5
14,HOU,BYE,14,#N/A,#N/A
14,IND,BYE,22,#N/A,#N/A
14,KC,LAC,1,8,-7
14,LAR,BUF,11,3,8
14,MIA,NYJ,18,28,-10
14,MIN,ATL,4,17,-13
14,NE,BYE,30,#N/A,#N/A
14,NYG,NO,31,27,4
14,PHI,CAR,5,26,-21
14,PIT,CLE,10,29,-19
14,SF,CHI,20,23,-3
14,TB,LV,13,24,-11
14,TEN,JAX,32,25,7
14,WAS,BYE,9,#N/A,#N/A
15,ARI,NE,19,30,-11
15,CAR,DAL,26,21,5
15,CLE,KC,29,1,28
15,DEN,IND,15,22,-7
15,DET,BUF,2,3,-1
