Week,Team 1,Team 2
1,ATL,PIT
1,BUF,ARI
1,CHI,TEN
1,CIN,NE
1,CLE,DAL
1,DET,LAR
1,IND,HOU
1,KC,BAL
1,LAC,LV
1,MIA,JAX
1,NO,CAR
1,NYG,MIN
1,PHI,GB
1,SF,NYJ
1,SEA,DEN
1,TB,WSH
2,ARI,LAR
2,BAL,LV
2,CAR,LAC
2,DAL,NO
2,DEN,PIT
2,DET,TB
2,GB,IND
2,HOU,CHI
2,JAX,CLE
2,KC,CIN
2,MIA,BUF
2,MIN,SF
2,NE,SEA
2,PHI,ATL
2,TEN,NYJ
2,WSH,NYG
3,ARI,DET
3,ATL,KC
3,BUF,JAX
3,CIN,WSH
3,CLE,NYG
3,DAL,BAL
3,IND,CHI
3,LV,CAR
3,LAR,SF
3,MIN,HOU
3,NO,PHI
3,NYJ,NE
3,PIT,LAC
3,SEA,MIA
3,TB,DEN
3,TEN,GB
4,ARI,WSH
4,ATL,NO
4,BAL,BUF
4,CAR,CIN
4,CHI,LAR
4,DET,SEA
4,GB,MIN
4,HOU,JAX
4,IND,PIT
4,LV,CLE
4,LAC,KC
4,MIA,TEN
4,NYG,DAL
4,NYJ,DEN
4,SF,NE
4,TB,PHI
5,ATL,TB
5,CHI,CAR
5,CIN,BAL
5,DEN,LV
5,DET,BYE
5,HOU,BUF
5,JAX,IND
5,KC,NO
5,LAR,GB
5,LAC,BYE
5,MIN,NYJ
5,NE,MIA
5,PHI,BYE
5,PIT,DAL
5,SF,ARI
5,SEA,NYG
5,TEN,BYE
5,WSH,CLE
6,BAL,WSH
6,CAR,ATL
6,CHI,JAX
6,DAL,DET
6,DEN,LAC
6,GB,ARI
6,KC,BYE
6,LV,PIT
6,LAR,BYE
6,MIA,BYE
6,MIN,BYE
6,NE,HOU
6,NO,TB
6,NYG,CIN
6,NYJ,BUF
6,PHI,CLE
6,SEA,SF
6,TEN,IND
7,ARI,LAC
7,ATL,SEA
7,BUF,TEN
7,CHI,BYE
7,CLE,CIN
7,DAL,BYE
7,GB,HOU
7,IND,MIA
7,JAX,NE
7,LAR,LV
7,MIN,DET
7,NO,DEN
7,NYG,PHI
7,PIT,NYJ
7,SF,KC
7,TB,BAL
7,WSH,CAR
8,CIN,PHI
8,CLE,BAL
8,DEN,CAR
8,DET,TEN
8,HOU,IND
8,JAX,GB
8,LV,KC
8,LAR,MIN
8,LAC,NO
8,MIA,ARI
8,NE,NYJ
8,PIT,NYG
8,SF,DAL
8,SEA,BUF
8,TB,ATL
8,WSH,CHI
9,ARI,CHI
9,ATL,DAL
9,BAL,DEN
9,BUF,MIA
9,CAR,NO
9,CIN,LV
9,CLE,LAC
9,GB,DET
9,KC,TB
9,MIN,IND
9,NYG,WSH
9,NYJ,HOU
9,PHI,JAX
9,PIT,BYE
9,SF,BYE
9,SEA,LAR
9,TEN,NE
10,ARI,NYJ
10,BAL,CIN
10,CAR,NYG
10,CHI,NE
10,CLE,BYE
10,DAL,PHI
10,GB,BYE
10,HOU,DET
10,IND,BUF
10,JAX,MIN
10,KC,DEN
10,LV,BYE
10,LAR,MIA
10,LAC,TEN
10,NO,ATL
10,SEA,BYE
10,TB,SF
10,WSH,PIT
11,ARI,BYE
11,BUF,KC
11,CAR,BYE
11,CHI,GB
11,DAL,HOU
11,DEN,ATL
11,DET,JAX
11,LAC,CIN
11,MIA,LV
11,NE,LAR
11,NO,CLE
11,NYG,BYE
11,NYJ,IND
11,PHI,WSH
11,PIT,BAL
11,SF,SEA
11,TB,BYE
11,TEN,MIN
12,ATL,BYE
12,BUF,BYE
12,CAR,KC
12,CHI,MIN
12,CIN,BYE
12,CLE,PIT
12,GB,SF
12,HOU,TEN
12,IND,DET
12,JAX,BYE
12,LV,DEN
12,LAR,PHI
12,LAC,BAL
12,MIA,NE
12,NO,BYE
12,NYG,TB
12,NYJ,BYE
12,SEA,ARI
12,WSH,DAL
13,ATL,LAC
13,BAL,PHI
13,BUF,SF
